Beverage_category,Beverage Name,Calories,Total Fat g,Saturated Fat g,Trans Fat g,Cholesterol (mg),Sodium (mg),Total Carbohydrates g,Dietary Fibre g,Sugars g,Protein g,Vitamin A DV,Vitamin C DV,Calcium DV,Iron DV,Caffeine mg
Tazo Tea Drinks,Tazo Full-Leaf Tea Latte Grande,150,0.2,0.1,0,5,85,31,0,31,7,15%,0%,25%,0.00%,varies
Tazo Tea Drinks,Tazo Full-Leaf Tea Latte Venti,190,0.2,0.1,0,5,110,39,0,39,9,15%,0%,30%,0.00%,varies
Tazo Tea Drinks,Tazo Full-Leaf Red Tea Latte (Vanilla Rooibos) Short,80,0.1,0.1,0,0,45,16,0,16,4,6%,0%,10%,0%,0
Tazo Tea Drinks,Tazo Full-Leaf Red Tea Latte (Vanilla Rooibos) Tall,120,0.1,0.1,0,5,65,23,0,23,5,10%,0%,20%,0%,0
Tazo Tea Drinks,Tazo Full-Leaf Red Tea Latte (Vanilla Rooibos) Grande,150,0.2,0.1,0,5,85,31,0,31,7,15%,0%,25%,0%,0
Tazo Tea Drinks,Tazo Full-Leaf Red Tea Latte (Vanilla Rooibos) Venti,190,0.2,0.1,0,5,110,39,0,39,9,15%,0%,30%,0%,0
Shaken Iced Beverages,Iced Brewed Coffee (With Classic Syrup) Tall,60,0,0,0,0,4,15,0,15,0.2,0%,0%,0%,0%,120
Shaken Iced Beverages,Iced Brewed Coffee (With Classic Syrup) Grande,90,0.1,0,0,0,5,21,0,21,0.3,0%,0%,0%,0%,165
Shaken Iced Beverages,Iced Brewed Coffee (With Classic Syrup) Venti,130,0.1,0,0,0,5,31,0,31,0.4,0%,0%,0%,0%,235
Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup) Tall,80,0.1,0,0,0,25,18,0,18,2,2%,0%,6%,0%,90
Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup) Grande,110,0.1,0,0,0,30,24,0,24,2,4%,0%,8%,2%,90
Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup) Venti,160,0.1,0.1,0,0,50,36,0,36,4,6%,0%,10%,4%,125
Shaken Iced Beverages,Shaken Iced Tazo Tea (With Classic Syrup) Tall,60,0,0,0,0,0,15,0,15,0,0%,0%,0%,6%,170
Shaken Iced Beverages,Shaken Iced Tazo Tea (With Classic Syrup) Grande,80,0,0,0,0,0,21,0,21,0,0%,0%,0%,0%,Varies
Shaken Iced Beverages,Shaken Iced Tazo Tea (With Classic Syrup) Venti,120,0,0,0,0,0,31,0,31,0,0%,0%,0%,0%,Varies
Shaken Iced Beverages,Shaken Iced Tazo Tea Lemonade (With Classic Syrup) Tall,100,0,0,0,0,0,25,0,24,0.1,0%,10%,0%,0%,Varies
Shaken Iced Beverages,Shaken Iced Tazo Tea Lemonade (With Classic Syrup) Grande,130,0,0,0,0,0,33,0,33,0.1,0%,15%,0%,0%,Varies
Shaken Iced Beverages,Shaken Iced Tazo Tea Lemonade (With Classic Syrup) Venti,190,0,0,0,0,0,49,0,49,0.1,0%,20%,0%,0%,Varies
Smoothies,Banana Chocolate Smoothie Grande,280,2.5,1.5,0,5,150,53,7,34,20,10%,15%,20%,0%,Varies
Smoothies,Orange Mango Banana Smoothie Grande,260,1,0.3,0,5,120,54,6,37,16,50%,80%,10%,30%,15
Smoothies,Strawberry Banana Smoothie Grande,290,1,0.3,0,5,125,58,7,41,16,4%,100%,10%,8%,0
Frappuccino Blended Coffee,Coffee Tall,160,0.1,0,0,0,160,36,0,36,3,4%,0%,10%,10%,0
Frappuccino Blended Coffee,Coffee Grande,220,0.1,0.1,0,0,210,51,0,50,4,6%,0%,10%,4%,70
Frappuccino Blended Coffee,Coffee Venti,310,0.1,0.1,0,5,300,70,0,69,6,10%,0%,20%,6%,95
Frappuccino Blended Coffee,Mocha (Without Whipped Cream) Tall,180,0.5,0.4,0,0,150,42,1,40,3,4%,0%,10%,8%,130
Frappuccino Blended Coffee,Mocha (Without Whipped Cream) Grande,260,1,0.5,0,0,220,61,1,58,4,6%,0%,10%,8%,110
Frappuccino Blended Coffee,Mocha (Without Whipped Cream) Venti,340,1,0.5,0,5,300,80,1,76,7,10%,0%,15%,10%,140
Frappuccino Blended Coffee,Caramel (Without Whipped Cream) Tall,180,0.1,0,0,0,160,42,0,41,3,4%,0%,10%,0%,70
Frappuccino Blended Coffee,Caramel (Without Whipped Cream) Grande,280,0.1,0.1,0,0,220,60,0,59,4,6%,0%,10%,0%,100
Frappuccino Blended Coffee,Caramel (Without Whipped Cream) Venti,330,0.1,0.1,0,5,290,78,0,77,5,10%,0%,15%,2%,130
Frappuccino Blended Coffee,Java Chip (Without Whipped Cream) Tall,220,3,2,0,0,170,47,1,44,4,4%,0%,10%,20%,75
Frappuccino Blended Coffee,Java Chip (Without Whipped Cream) Grande,310,4,3,0,0,250,67,2,62,5,6%,0%,10%,25%,110
Frappuccino Blended Coffee,Java Chip (Without Whipped Cream) Venti,420,5,4,0,5,340,90,2,84,7,10%,0%,20%,35%,145
Frappuccino Light Blended Coffee,Mocha Tall,110,0.5,0.4,0,0,150,24,1,23,3,4%,0%,8%,6%,70
Frappuccino Light Blended Coffee,Mocha Grande,150,1,0.5,0,0,200,33,1,30,4,6%,0%,10%,8%,95
Frappuccino Light Blended Coffee,Mocha Venti,210,1,0.5,0,5,280,46,1,42,6,8%,0%,15%,10%,130
Frappuccino Light Blended Coffee,Caramel Tall,100,0.1,0,0,0,140,23,0,23,3,4%,0%,8%,0%,65
Frappuccino Light Blended Coffee,Caramel Grande,150,0.1,0.1,0,0,200,33,0,32,3,6%,0%,10%,0%,90
Frappuccino Light Blended Coffee,Caramel Venti,200,0.1,0.1,0,5,270,44,0,43,5,8%,0%,15%,2%,120
Frappuccino Light Blended Coffee,Java Chip Tall,150,3,2,0,0,170,30,1,27,4,4%,0%,10%,20%,70
Frappuccino Light Blended Coffee,Java Chip Grande,220,4,3,0,0,240,43,2,39,5,6%,0%,10%,25%,105
Frappuccino Light Blended Coffee,Java Chip Venti,290,5,4,0,5,320,58,2,52,7,8%,0%,15%,35%,165
Frappuccino Blended Creme,Strawberries & Creme (Without Whipped Cream) Tall,170,0.1,0.1,0,0,140,39,0,38,3,6%,6%,10%,2%,0
Frappuccino Blended Creme,Strawberries & Creme (Without Whipped Cream) Grande,230,0.2,0.1,0,0,190,53,0,52,4,8%,6%,15%,4%,0
Frappuccino Blended Creme,Strawberries & Creme (Without Whipped Cream) Venti,310,0.2,0.1,0,5,260,70,0,69,6,10%,8%,20%,4%,0
Frappuccino Blended Creme,Vanilla Bean (Without Whipped Cream) Tall,170,0.1,0.1,0,0,160,39,0,38,4,6%,0%,10%,0%,0
Frappuccino Blended Creme,Vanilla Bean (Without Whipped Cream) Grande,240,0.1,0.1,0,5,230,56,0,55,5,8%,0%,15%,0%,0
